macro_nightlights_mean_shap,macro_economic_employees_shap,macro_literacy_rate_shap,macro_population_shap,macro_economic_establishments_shap,chronic_diabetes_prevalence_shap,chronic_hypertension_prevalence_shap,state_name,district_name
-3.1132576,3.6026754,0.9274134,-2.5781236,-0.41700032,-5.5485415,-4.931762,HARYANA,BHIWANI
-2.9461203,2.588875,-1.3798125,-14.817359,-0.66031444,-5.400276,-3.7110941,HARYANA,ROHTAK
-2.8236313,3.2177665,-1.3812667,-16.122208,-0.71366394,-5.432911,-3.5697138,HARYANA,JHAJJAR
-3.1256466,-3.0693843,2.012,-18.247425,-1.4858066,-4.7934055,-3.9803646,HARYANA,MAHENDRAGARH
-2.9374914,2.6395361,-1.4157807,-18.447813,-0.31809497,-5.363985,-3.3672926,HARYANA,REWARI
-4.7683606,9.197679,0.3777766,-5.7216396,-3.3650587,-5.6739836,-4.070252,HARYANA,GURGAON
-1.6026152,-3.0542088,0.8442929,-14.057908,1.070139,-5.427722,-3.4231126,HARYANA,MEWAT
-6.3837466,3.6541524,-1.0835484,0.29742914,-2.6078882,-6.1252856,-4.5898423,HARYANA,FARIDABAD
-2.2242782,-2.716852,-0.2721568,-16.025558,0.17177361,-5.728211,-3.5311584,HARYANA,PALWAL
-9.202345,6.3486185,-0.46062645,24.669233,-1.6158805,-9.151396,-1.6376463,DELHI,NORTH WEST
0.7261965,9.440446,0.6649527,-16.960709,2.6716094,-6.627335,-1.2063199,DELHI,NORTH
-13.410224,1.6607481,0.26066992,6.5987697,-5.259342,-6.798946,2.1452143,DELHI,NORTH EAST
-1.6435345,3.4097624,-0.26107612,-4.514291,-2.0636108,-6.687538,-4.3924174,DELHI,EAST
19.83791,12.683188,1.4917219,-21.098877,-0.9434978,-3.2770786,-2.8520117,DELHI,NEW DELHI
18.735647,13.16252,2.1026504,-18.77667,-0.74147624,-3.6436508,2.1988318,DELHI,CENTRAL
-5.208336,7.92157,0.8635111,11.60908,-3.0799196,-5.928903,-4.148392,DELHI,WEST
-6.703734,1.8399308,1.137078,8.081745,-1.0589379,-4.015694,-3.2005613,DELHI,SOUTH WEST
-14.626458,2.696775,0.6513509,13.580005,-2.5718825,-5.9004946,-4.4858737,DELHI,SOUTH
5.153231,4.4373016,0.20447043,-1.6478857,2.4108074,15.757369,5.6829047,RAJASTHAN,GANGANAGAR
5.2760305,3.1225832,-0.6334559,1.0539232,-2.5613701,14.29244,5.013882,RAJASTHAN,HANUMANGARH
6.680712,3.539906,0.27311507,12.270964,-2.165792,18.763103,6.7902045,RAJASTHAN,BIKANER
6.7931094,4.2924027,-0.55879366,13.100998,0.8880203,18.399158,6.663708,RAJASTHAN,CHURU
4.066787,4.955416,1.7092339,17.623465,5.296138,18.672077,6.5780377,RAJASTHAN,JHUNJHUNUN
-1.9573171,10.412633,1.1060815,42.191345,4.970467,32.262516,6.9802833,RAJASTHAN,ALWAR
-3.854942,2.3740637,-0.27253687,19.088669,0.5588365,20.752348,5.414538,RAJASTHAN,BHARATPUR
-0.17404914,-4.149746,-0.79963374,-16.671635,-2.0494406,12.236176,4.989297,RAJASTHAN,DHAULPUR
-0.35362777,-4.4481983,-0.84096915,-5.974914,-2.8072174,13.380184,4.6548066,RAJASTHAN,KARAULI
0.8166739,0.95116174,-0.9450505,-8.386943,-2.1103568,12.801328,4.7312427,RAJASTHAN,SAWAI MADHOPUR
-3.198774,2.9822361,-0.48079196,-5.461192,-3.6245165,14.772669,4.449076,RAJASTHAN,DAUSA
2.5765529,19.134068,0.09465586,93.64291,2.4412374,30.905537,7.5527525,RAJASTHAN,JAIPUR
3.660115,7.065414,1.7736493,27.051208,3.1965752,25.119919,8.053851,RAJASTHAN,SIKAR
9.125341,4.979951,0.80443925,48.290718,2.0647995,30.249582,7.704753,RAJASTHAN,NAGAUR
2.7234285,5.1181974,0.16189346,41.09096,1.7258415,30.83369,7.50076,RAJASTHAN,JODHPUR
