source,state,district
PMBJP,RAJASTHAN,SALUMBAR
PMBJP,RAJASTHAN,KOTPUTLI-BEHROR
PMBJP,RAJASTHAN,PHALODI
PMBJP,RAJASTHAN,BEAWAR
PMBJP,RAJASTHAN,BALOTRA
PMBJP,RAJASTHAN,DIDWANA- KUCHAMAN
PMBJP,RAJASTHAN,DEEG
PMBJP,TAMIL NADU,TENKASI
PMBJP,TAMIL NADU,RANIPET
PMBJP,TAMIL NADU,KALLAKURICHI
PMBJP,TAMIL NADU,TIRUPATHUR
PMBJP,TAMIL NADU,CHENGALPATTU
PMBJP,TAMIL NADU,MAYILADUTHURAI
PMBJP,TELANGANA,ADILABAD
PMBJP,TELANGANA,BHADRADRI KOTHAGUDEM
PMBJP,TELANGANA,HANUMAKONDA
PMBJP,TELANGANA,HYDERABAD
PMBJP,TELANGANA,JAGITIAL
PMBJP,TELANGANA,JANGOAN
PMBJP,TELANGANA,JAYASHANKAR BHUPALAPALLY
PMBJP,TELANGANA,JOGULAMBA GADWAL
PMBJP,TELANGANA,KAMAREDDY
PMBJP,TELANGANA,KARIMNAGAR
PMBJP,TELANGANA,KHAMMAM
PMBJP,TELANGANA,KUMURAM BHEEM ASIFABAD
PMBJP,TELANGANA,MAHABUBABAD
PMBJP,TELANGANA,MAHABUBNAGAR
PMBJP,TELANGANA,MANCHERIAL
PMBJP,TELANGANA,MEDAK
PMBJP,TELANGANA,MEDCHAL
PMBJP,TELANGANA,MEDCHAL MALKAJGIRI
PMBJP,TELANGANA,MULUGU
PMBJP,TELANGANA,NAGARKURNOOL
PMBJP,TELANGANA,NALGONDA
PMBJP,TELANGANA,NARAYANPET
PMBJP,TELANGANA,NIRMAL
PMBJP,TELANGANA,NIZAMABAD
PMBJP,TELANGANA,PEDDAPALLI
PMBJP,TELANGANA,RAJANNA SIRCILLA
PMBJP,TELANGANA,RANGA REDDY
PMBJP,TELANGANA,SANGAREDDY
PMBJP,TELANGANA,SIDDIPET
PMBJP,TELANGANA,SURYAPET
PMBJP,TELANGANA,VIKARABAD
PMBJP,TELANGANA,WANAPARTHY
PMBJP,TELANGANA,WARANGAL
PMBJP,TELANGANA,YADADRI BHUVANAGIRI
PMBJP,THE DADRA AND NAGAR,DADRA AND
PMBJP,THE DADRA AND NAGAR,DIU
PMBJP,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,DADRA AND NAGAR HAVELI
PMBJP,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,DAMAN
PMBJP,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,DIU
PMBJP,TRIPURA,KHOWAI
PMBJP,TRIPURA,GOMATI
PMBJP,TRIPURA,SEPAHIJALA
